movieId,title,genres,estimated_rating
318,"Shawshank Redemption, The (1994)",Crime|Drama,4.753807613489965
858,"Godfather, The (1972)",Crime|Drama,4.654488500116959
1221,"Godfather: Part II, The (1974)",Crime|Drama,4.624479971951574
44657,Mouchette (1967),Drama,4.60821476904335
94466,Black Mirror (2011),Drama|Sci-Fi,4.572524080620953
2959,Fight Club (1999),Action|Crime|Drama|Thriller,4.546375825550519
527,Schindler's List (1993),Drama|War,4.544946684094128
1193,One Flew Over the Cuckoo's Nest (1975),Drama,4.5158623311467965
6818,Come and See (Idi i smotri) (1985),Drama|War,4.515381628169658
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.5036470495992384
